,Países,Inmigrantes hombres,Inmigrantes mujeres,Inmigrantes,% Inmigrantes,Var.
41,Suiza,841.855,728.901,1.570.756,"21,80%","0,86"
42,Costa de Marfil,1.198.496,965.148,2.163.644,"13,41%","-1,26"
43,Chile,84.717,92.615,177.332,"1,16%","0,17"
44,Camerún,124.008,103.234,227.242,"1,46%","-0,35"
45,Colombia,56.223,53.386,109.609,"0,28%","-0,01"
46,Costa Rica,156.798,154.148,310.946,"8,16%","-2,34"
47,Cuba,7.840,9.978,17.818,"0,16%","-0,08"
48,Cabo Verde,5.753,5.274,11.027,"2,53%","-0,04"
49,Chipre,34.745,45.331,80.076,"11,48%","2,04"
50,Chequia,119.227,101.562,220.789,"2,16%","0,56"
51,Yibuti,52.920,47.587,100.507,"14,00%","-1,84"
52,Dinamarca,179.977,191.049,371.026,"6,94%","1,17"
53,Dominica,1.955,1.768,3.723,"5,24%","0,84"
54,República Dominicana,216.008,139.603,355.611,"4,23%","0,07"
55,Argelia,137.158,112.952,250.110,"0,82%","-0,11"
56,Ecuador,77.227,74.296,151.523,"1,21%","0,22"
57,Estonia,100.844,148.668,249.512,"17,92%","-4,24"
58,Egipto,98.224,86.550,184.774,"0,29%",0
59,Eritrea,6.856,6.096,12.952,"0,57%","0,01"
60,Etiopía,322.219,289.165,611.384,"0,96%","-0,50"
61,Finlandia,67.469,68.734,136.203,"2,63%","0,68"
62,Fiyi,6.601,6.118,12.719,"1,59%","-0,10"
63,Estados Federados de Micronesia,1.721,1.395,3.116,"2,91%","-0,24"
64,Gabón,122.986,91.445,214.431,"17,80%","1,70"
65,Granada,3.386,3.439,6.825,"6,63%","1,09"
66,Georgia,33.321,42.796,76.117,"1,73%","-1,53"
67,Ghana,97.279,94.322,191.601,"1,01%","-0,58"
68,Gambia,97.138,85.376,182.514,"13,85%","0,32"
69,Guinea,279.108,280.967,560.075,"6,40%","-3,48"
70,Guinea Ecuatorial,2.394,2.123,4.517,"0,74%","0,02"
71,Grecia,559.794,551.871,1.111.665,"10,26%","2,16"
72,Guatemala,21.211,26.908,48.119,"0,41%","-1,09"
73,Guinea-Bisáu,10.155,10.295,20.450,"1,71%","-0,90"
74,Guyana,4.611,3.999,8.610,"1,16%","0,29"
75,Hong Kong,1.225.629,1.443.493,2.669.122,"39,77%","0,79"
76,Honduras,14.581,13.880,28.461,"0,43%","-2,19"
77,Croacia,274.823,310.475,585.298,"13,63%","-1,08"
78,Haiti,9.572,7.650,17.222,"0,20%","-0,03"
79,Hungría,138.219,158.738,296.957,"2,91%","-0,21"
80,Indonesia,153.315,138.992,292.307,"0,14%","-0,05"
81,Irlanda,172.959,177.593,350.552,"9,15%","2,88"
82,Israel,853.712,997.597,1.851.309,"29,45%","-2,89"
83,India,3.303.591,3.107.740,6.411.331,"0,61%","-0,11"
84,Irak,120.464,90.061,210.525,"0,90%","-0,09"
85,Irán,1.662.264,1.141.541,2.803.805,"4,41%","-0,55"
86,Islandia,7.207,8.685,15.892,"5,61%","0,86"
87,Jamaica,12.503,12.449,24.952,"0,97%","0,05"
88,Jordania,982.977,944.868,1.927.845,"37,64%","4,14"
89,Kenia,352.933,354.919,707.852,"2,40%","-0,03"
90,Kirguistán,162.927,226.897,389.824,"8,00%","-3,45"
91,Camboya,71.638,74.447,146.085,"1,20%","0,34"
92,Kiribati,1.188,1.095,2.283,"2,72%","-0,13"
93,Comoras,6.511,7.288,13.799,"2,56%","-0,31"
94,San Cristóbal y Nieves,3.068,2.803,5.871,"13,05%","3,17"
95,Corea del Norte,17.731,18.452,36.183,"0,16%",0
96,Corea del Sur,143.212,101.012,244.224,"0,52%","0,25"
97,Kuwait,761.512,366.128,1.127.640,"50,86%","3,82"
98,Kazajistán,1.323.580,1.550.614,2.874.194,"19,33%","-1,41"
99,Laos,11.564,10.384,21.948,"0,41%","-0,08"
100,Líbano,353.305,339.608,692.913,"18,03%","0,79"
101,Santa Lucía,4.960,4.911,9.871,"6,33%","1,40"
102,Liechtenstein,7.980,7.503,15.483,"47,11%","4,06"
103,Sri Lanka,21.971,18.161,40.132,"0,21%","-0,01"
104,Liberia,82.129,69.739,151.868,"5,33%","-4,87"
105,Lesoto,3.335,2.832,6.167,"0,33%","-0,05"
106,Lituania,100.546,113.765,214.311,"6,15%","-1,42"
107,Luxemburgo,69.286,70.464,139.750,"31,83%","1,19"
108,Letonia,177.632,252.546,430.178,"18,28%","-3,51"
109,Libia,368.950,198.486,567.436,"10,95%","0,25"
110,Marruecos,27.233,25.801,53.034,"0,19%",0
111,Mónaco,10.458,11.329,21.787,"67,77%","-0,76"
112,Moldavia,101.097,146.731,247.828,"6,82%","-1,66"
113,Madagascar,13.276,10.265,23.541,"0,16%",0
114,Islas Marshall,1.164,727,1.891,"3,71%","0,78"
115,Macedonia del Norte,52.385,73.280,125.665,"6,19%","0,64"
116,Malí,97.752,91.723,189.475,"1,73%","-0,11"
117,Birmania - Myanmar,52.150,45.861,98.011,"0,22%","-0,04"
118,Mongolia,4.564,3.642,8.206,"0,34%","0,01"
119,Mauritania,31.163,26.203,57.366,"2,17%","-1,74"
120,Malta,10.289,11.232,21.521,"5,50%","0,81"
121,Mauricio,5.705,9.838,15.543,"1,31%","0,64"
122,Maldivas,14.907,12.185,27.092,"10,03%","2,47"
123,Malaui,111.530,121.090,232.620,"1,93%","-0,34"
124,México,270.896,267.155,538.051,"0,54%","0,04"
125,Malasia,822.679,640.919,1.463.598,"6,23%","1,70"
126,Mozambique,103.175,92.527,195.702,"1,10%","0,01"
127,Namibia,73.154,62.393,135.547,"7,42%","0,18"
128,Níger,58.192,64.068,122.260,"1,08%","-0,46"
129,Nigeria,270.211,217.671,487.882,"0,40%","-0,03"
130,Nicaragua,15.423,14.966,30.389,"0,61%","0,01"
131,Países Bajos,765.302,791.035,1.556.337,"9,73%","1,04"
132,Noruega,144.826,147.614,292.440,"6,49%","1,15"
133,Nepal,241.959,475.941,717.900,"3,00%","-0,20"
134,Nauru,1.283,1.111,2.394,"23,65%","-0,87"
135,Nueva Zelanda,329.927,348.886,678.813,"17,59%","1,58"
136,Omán,488.389,135.219,623.608,"25,96%","1,11"
137,Panamá,42.437,40.973,83.410,"2,74%","0,16"
138,Perú,32.839,33.461,66.300,"0,25%","0,02"
139,Papúa Nueva Guinea,15.874,10.430,26.304,"0,51%","-0,23"
140,Filipinas,161.904,156.191,318.095,"0,41%","0,11"
141,Pakistán,2.249.960,1.931.952,4.181.912,"2,94%","0,02"
142,Polonia,338.323,486.928,825.251,"2,16%","-0,34"
143,Estado de Palestina,124.555,150.647,275.202,"9,01%","-2,34"
144,Palaos,3.905,2.405,6.310,"33,21%","5,53"
145,Paraguay,92.052,84.556,176.608,"3,34%","-0,57"
146,Catar,274.242,85.455,359.697,"60,56%","-11,63"
147,Rumanía,63.121,71.133,134.254,"0,60%",0
148,Serbia,437.602,540.271,977.873,"13,03%","1,61"
149,Rusia,5.982.851,5.917.446,11.900.297,"8,13%","0,09"
150,Ruanda,175.741,171.335,347.076,"4,51%","0,91"
151,Arabia Saudita,3.517.768,1.745.619,5.263.387,"25,71%","-2,54"
152,Islas Salomón,2.224,1.757,3.981,"0,96%","-0,20"
153,Seychelles,3.837,2.737,6.574,"8,12%","1,26"
154,Sudán,404.618,400.468,805.086,"2,59%","-1,18"
155,Suecia,480.211,523.587,1.003.798,"11,30%","0,71"
156,Singapur,601.671,750.020,1.351.691,"33,56%","5,43"
157,Eslovenia,114.772,99.736,214.508,"10,78%","2,02"
158,Eslovaquia,51.253,65.123,116.376,"2,16%","0,87"
159,Sierra Leona,54.184,43.790,97.974,"2,14%","-0,15"
160,San Marino,2.175,1.870,4.045,"14,73%","0,62"
161,Senegal,121.492,110.409,231.901,"2,37%","-0,94"
162,Somalia,10.628,9.469,20.097,"0,23%","-0,03"
163,Surinam,14.938,12.568,27.506,"5,89%","0,78"
164,Sudán del Sur,0,0,0,0%,0
165,Santo Tomé y Príncipe,2.212,2.153,4.365,"3,14%","-0,75"
166,El Salvador,14.909,16.804,31.713,"0,54%","-0,16"
167,Siria,427.981,406.935,834.916,"5,06%","-0,63"
168,Suazilandia,17.921,16.163,34.084,"3,57%","-0,36"
169,Chad,56.463,48.362,104.825,"1,25%","-0,03"
170,Togo,69.112,68.856,137.968,"2,80%","0,40"
171,Tailandia,647.728,610.093,1.257.821,"2,00%","0,64"
172,Tayikistán,131.653,167.846,299.499,"4,82%","-1,33"
173,Timor Oriental,5.095,5.507,10.602,"1,20%","0,05"
174,Turkmenistán,102.810,116.257,219.067,"4,84%","-1,65"
175,Túnez,18.679,18.040,36.719,"0,38%","-0,04"
176,Tonga,1.981,1.703,3.684,"3,72%","0,34"
177,Türkiye,616.007,664.956,1.280.963,"1,98%","0,03"
178,Trinidad y Tobago,19.288,22.465,41.753,"3,30%","-0,37"
179,Tuvalu,121,97,218,"2,32%","-0,51"
180,Tanzania,481.816,467.784,949.600,"2,92%","-0,92"
181,Ucrania,2.368.364,3.158.723,5.527.087,"11,36%","-0,77"
182,Uganda,290.859,293.421,584.280,"2,68%","-0,58"
183,Uruguay,41.095,47.779,88.874,"2,65%","-0,24"
184,Uzbekistán,606.163,800.335,1.406.498,"5,74%","-0,93"
185,San Vicente y las Granadinas,2.099,2.208,4.307,"3,99%","0,13"
186,Venezuela,508.682,505.056,1.013.738,"4,16%","-0,53"
187,Vietnam,32.825,23.929,56.754,"0,07%",0
188,Vanuatu,1.320,1.306,2.626,"1,37%","-0,09"
189,Samoa,3.101,2.897,5.998,"3,45%","0,69"
190,Yemen,80.514,64.426,144.940,"0,81%","-0,08"
191,Sudáfrica,607.602,409.361,1.016.963,"2,26%","-0,16"
192,Zambia,175.114,168.589,343.703,"3,25%","0,61"
193,Zimbabue,233.881,176.228,410.109,"3,51%","-0,23"
