,Países,Inmigrantes hombres,Inmigrantes mujeres,Inmigrantes,% Inmigrantes,Var.,year
52,Dinamarca,213.097,227.286,440.383,"8,11%","1,17",2005
53,Dominica,2.491,2.253,4.744,"6,68%","1,44",2005
54,República Dominicana,228.180,147.821,376.001,"4,19%","-0,04",2005
55,Argelia,108.266,89.156,197.422,"0,60%","-0,22",2005
56,Ecuador,96.188,91.216,187.404,"1,37%","0,16",2005
57,Estonia,94.244,139.457,233.701,"17,30%","-0,62",2005
58,Egipto,165.211,119.795,285.006,"0,40%","0,11",2005
59,Eritrea,7.729,6.585,14.314,"0,51%","-0,06",2005
60,Etiopía,269.725,244.517,514.242,"0,68%","-0,28",2005
61,Finlandia,96.429,95.740,192.169,"3,66%","1,03",2005
62,Fiyi,6.564,5.871,12.435,"1,51%","-0,08",2005
63,Estados Federados de Micronesia,1.565,1.340,2.905,"2,74%","-0,17",2005
64,Gabón,135.107,98.717,233.824,"17,14%","-0,66",2005
65,Granada,3.424,3.478,6.902,"6,57%","-0,06",2005
66,Georgia,31.655,40.656,72.311,"1,64%","-0,09",2005
67,Ghana,156.778,147.658,304.436,"1,42%","0,41",2005
68,Gambia,96.230,85.675,181.905,"11,78%","-2,07",2005
69,Guinea,111.738,117.873,229.611,"2,40%","-4,00",2005
70,Guinea Ecuatorial,3.564,3.024,6.588,"0,87%","0,13",2005
71,Grecia,587.677,603.030,1.190.707,"10,82%","0,56",2005
72,Guatemala,26.064,31.188,57.252,"0,44%","0,03",2005
73,Guinea-Bisáu,10.298,10.438,20.736,"1,56%","-0,15",2005
74,Guyana,5.817,5.051,10.868,"1,46%","0,30",2005
75,Hong Kong,1.185.121,1.536.114,2.721.235,"39,80%","0,03",2005
76,Honduras,14.444,13.431,27.875,"0,37%","-0,06",2005
77,Croacia,271.645,307.628,579.273,"13,43%","-0,20",2005
78,Haiti,9.093,7.267,16.360,"0,18%","-0,02",2005
79,Hungría,174.216,192.571,366.787,"3,64%","0,73",2005
80,Indonesia,165.493,124.075,289.568,"0,13%","-0,01",2005
81,Irlanda,309.910,279.136,589.046,"14,00%","4,85",2005
82,Israel,867.805,1.021.698,1.889.503,"27,28%","-2,17",2005
83,India,3.045.849,2.878.096,5.923.945,"0,52%","-0,09",2005
84,Irak,80.883,52.032,132.915,"0,49%","-0,41",2005
85,Irán,1.410.319,1.158.611,2.568.930,"3,70%","-0,71",2005
86,Islandia,12.413,13.079,25.492,"8,50%","2,89",2005
87,Jamaica,12.263,12.051,24.314,"0,92%","-0,05",2005
88,Jordania,1.183.645,1.141.769,2.325.414,"40,33%","2,69",2005
89,Kenia,400.364,372.990,773.354,"2,29%","-0,11",2005
90,Kirguistán,128.064,181.335,309.399,"6,02%","-1,98",2005
91,Camboya,57.511,56.520,114.031,"0,85%","-0,35",2005
92,Kiribati,1.312,1.175,2.487,"2,70%","-0,02",2005
93,Comoras,6.286,6.923,13.209,"2,19%","-0,37",2005
94,San Cristóbal y Nieves,3.501,3.181,6.682,"13,64%","0,59",2005
95,Corea del Norte,19.749,20.348,40.097,"0,17%","0,01",2005
96,Corea del Sur,284.305,201.760,486.065,"1,01%","0,49",2005
97,Kuwait,918.580,414.747,1.333.327,"44,58%","-6,28",2005
98,Kazajistán,1.472.820,1.630.207,3.103.027,"20,39%","1,06",2005
99,Laos,10.930,9.441,20.371,"0,35%","-0,06",2005
100,Líbano,390.331,366.453,756.784,"16,11%","-1,92",2005
101,Santa Lucía,4.843,4.999,9.842,"6,00%","-0,33",2005
102,Liechtenstein,9.434,9.464,18.898,"54,14%","7,03",2005
103,Sri Lanka,21.318,18.208,39.526,"0,20%","-0,01",2005
104,Liberia,51.183,36.005,87.188,"2,71%","-2,62",2005
105,Lesoto,3.402,2.888,6.290,"0,34%","0,01",2005
106,Lituania,94.189,107.020,201.209,"6,12%","-0,03",2005
107,Luxemburgo,74.951,75.667,150.618,"32,11%","0,28",2005
108,Letonia,154.745,221.980,376.725,"16,91%","-1,37",2005
109,Libia,445.597,179.615,625.212,"11,18%","0,23",2005
110,Marruecos,27.543,26.836,54.379,"0,18%","-0,01",2005
111,Mónaco,10.322,10.990,21.312,"62,98%","-4,79",2005
112,Moldavia,67.924,103.198,171.122,"4,77%","-2,05",2005
113,Madagascar,14.744,11.314,26.058,"0,15%","-0,01",2005
114,Islas Marshall,1.485,932,2.417,"4,74%","1,03",2005
115,Macedonia del Norte,53.220,74.447,127.667,"6,26%","0,07",2005
116,Malí,132.244,124.553,256.797,"2,01%","0,28",2005
117,Birmania - Myanmar,44.506,38.519,83.025,"0,17%","-0,05",2005
118,Mongolia,7.577,3.900,11.477,"0,45%","0,11",2005
119,Mauritania,32.588,25.531,58.119,"1,91%","-0,26",2005
120,Malta,11.899,12.661,24.560,"6,06%","0,56",2005
121,Mauricio,8.943,10.704,19.647,"1,60%","0,29",2005
122,Maldivas,27.079,17.966,45.045,"15,32%","5,29",2005
123,Malaui,105.931,115.730,221.661,"1,62%","-0,31",2005
124,México,359.642,352.845,712.487,"0,67%","0,13",2005
125,Malasia,1.133.541,784.963,1.918.504,"7,25%","1,02",2005
126,Mozambique,127.908,136.771,264.679,"1,29%","0,19",2005
127,Namibia,57.625,49.722,107.347,"5,49%","-1,93",2005
128,Níger,59.170,65.291,124.461,"0,91%","-0,17",2005
129,Nigeria,564.384,404.910,969.294,"0,70%","0,30",2005
130,Nicaragua,17.773,17.145,34.918,"0,64%","0,03",2005
131,Países Bajos,843.444,892.683,1.736.127,"10,63%","0,90",2005
132,Noruega,176.444,184.700,361.144,"7,78%","1,29",2005
133,Nepal,235.203,444.254,679.457,"2,64%","-0,36",2005
134,Nauru,1.208,1.045,2.253,"22,53%","-1,12",2005
135,Nueva Zelanda,407.690,432.262,839.952,"20,31%","2,72",2005
136,Omán,527.842,138.318,666.160,"25,45%","-0,51",2005
137,Panamá,59.812,57.751,117.563,"3,51%","0,77",2005
138,Perú,38.959,38.918,77.877,"0,28%","0,03",2005
139,Papúa Nueva Guinea,17.920,12.186,30.106,"0,52%","0,01",2005
140,Filipinas,133.023,124.445,257.468,"0,30%","-0,11",2005
141,Pakistán,1.708.514,1.462.618,3.171.132,"2,01%","-0,93",2005
142,Polonia,297.039,425.470,722.509,"1,89%","-0,27",2005
143,Estado de Palestina,119.621,146.996,266.617,"7,60%","-1,41",2005
144,Palaos,3.620,2.423,6.043,"30,22%","-2,99",2005
145,Paraguay,87.698,80.545,168.243,"2,91%","-0,43",2005
146,Catar,498.428,147.598,646.026,"78,69%","18,13",2005
147,Rumanía,70.153,75.009,145.162,"0,68%","0,08",2005
148,Serbia,383.088,471.760,854.848,"11,51%","-1,52",2005
149,Rusia,5.806.597,5.860.991,11.667.588,"8,17%","0,04",2005
150,Ruanda,213.279,209.908,423.187,"4,81%","0,30",2005
151,Arabia Saudita,4.469.805,2.032.014,6.501.819,"27,87%","2,16",2005
152,Islas Salomón,1.830,1.441,3.271,"0,70%","-0,26",2005
153,Seychelles,5.820,3.177,8.997,"10,84%","2,72",2005
154,Sudán,278.084,268.335,546.419,"1,55%","-1,04",2005
155,Suecia,538.490,587.300,1.125.790,"12,44%","1,14",2005
156,Singapur,758.762,951.832,1.710.594,"40,10%","6,54",2005
157,Eslovenia,116.741,100.477,217.218,"10,84%","0,06",2005
158,Eslovaquia,58.716,71.775,130.491,"2,43%","0,27",2005
159,Sierra Leona,76.621,69.429,146.050,"2,59%","0,45",2005
160,San Marino,2.302,1.916,4.218,"14,06%","-0,67",2005
161,Senegal,124.854,113.444,238.298,"2,15%","-0,22",2005
162,Somalia,11.047,9.623,20.670,"0,20%","-0,03",2005
163,Surinam,18.340,15.324,33.664,"6,75%","0,86",2005
164,Sudán del Sur,0,0,0,0%,0,2005
165,Santo Tomé y Príncipe,1.727,1.706,3.433,"2,21%","-0,93",2005
166,El Salvador,17.029,18.990,36.019,"0,60%","0,06",2005
167,Siria,450.438,427.870,878.308,"4,59%","-0,47",2005
168,Suazilandia,17.369,16.023,33.392,"3,34%","-0,23",2005
169,Chad,159.715,192.347,352.062,"3,49%","2,24",2005
170,Togo,103.055,100.744,203.799,"3,63%","0,83",2005
171,Tailandia,1.086.166,1.077.281,2.163.447,"3,31%","1,31",2005
172,Tayikistán,121.403,159.063,280.466,"4,09%","-0,73",2005
173,Timor Oriental,5.578,5.708,11.286,"1,13%","-0,07",2005
174,Turkmenistán,101.214,111.839,213.053,"4,48%","-0,36",2005
175,Túnez,18.000,17.040,35.040,"0,35%","-0,03",2005
176,Tonga,2.324,1.977,4.301,"4,26%","0,54",2005
177,Türkiye,618.938,700.298,1.319.236,"1,92%","-0,06",2005
178,Trinidad y Tobago,20.647,24.165,44.812,"3,46%","0,16",2005
179,Tuvalu,115,94,209,"2,09%","-0,23",2005
180,Tanzania,486.983,284.170,771.153,"2,06%","-0,86",2005
181,Ucrania,2.168.060,2.882.242,5.050.302,"10,80%","-0,56",2005
182,Uganda,292.130,301.178,593.308,"2,30%","-0,38",2005
183,Uruguay,37.658,44.659,82.317,"2,46%","-0,19",2005
184,Uzbekistán,589.690,740.242,1.329.932,"5,11%","-0,63",2005
185,San Vicente y las Granadinas,2.198,2.238,4.436,"4,11%","0,12",2005
186,Venezuela,538.197,538.277,1.076.474,"4,07%","-0,09",2005
187,Vietnam,31.106,20.662,51.768,"0,06%","-0,01",2005
188,Vanuatu,1.398,1.402,2.800,"1,31%","-0,06",2005
189,Samoa,2.940,2.806,5.746,"3,19%","-0,26",2005
190,Yemen,98.879,72.992,171.871,"0,84%","0,03",2005
191,Sudáfrica,782.272,568.759,1.351.031,"2,82%","0,56",2005
192,Zambia,128.628,124.267,252.895,"2,10%","-1,15",2005
193,Zimbabue,229.254,172.972,402.226,"3,40%","-0,11",2005
