,Países,Inmigrantes hombres,Inmigrantes mujeres,Inmigrantes,% Inmigrantes,Var.,year
55,Argelia,131.192,117.432,248.624,"0,60%",0,2017
56,Ecuador,206.327,192.741,399.068,"2,38%",0,2017
57,Estonia,80.654,112.308,192.962,"14,63%","-0,16",2017
58,Egipto,257.661,220.649,478.310,"0,50%","0,10",2017
59,Eritrea,8.889,7.152,16.041,"0,32%","-0,01",2017
60,Etiopía,624.222,602.921,1.227.143,"1,32%","0,03",2017
61,Finlandia,174.807,168.775,343.582,"6,23%","0,49",2017
62,Fiyi,7.508,6.403,13.911,"1,57%","-0,01",2017
63,Estados Federados de Micronesia,1.489,1.296,2.785,"2,68%","0,03",2017
64,Gabón,159.885,120.312,280.197,"13,57%","-6,05",2017
65,Granada,3.536,3.588,7.124,"6,42%",0,2017
66,Georgia,34.241,43.977,78.218,"2,10%","0,04",2017
67,Ghana,212.601,205.041,417.642,"1,44%","-0,06",2017
68,Gambia,108.103,96.960,205.063,"9,26%","0,03",2017
69,Guinea,72.301,50.495,122.796,"1,02%","-0,09",2017
70,Guinea Ecuatorial,170.970,50.895,221.865,"17,58%","-0,26",2017
71,Grecia,555.797,664.598,1.220.395,"11,36%","-0,17",2017
72,Guatemala,38.642,42.886,81.528,"0,48%",0,2017
73,Guinea-Bisáu,11.346,12.059,23.405,"1,38%","0,01",2017
74,Guyana,8.308,7.222,15.530,"2,00%","-0,01",2017
75,Hong Kong,1.137.469,1.745.582,2.883.051,"38,88%","0,05",2017
76,Honduras,20.318,18.382,38.700,"0,41%","-0,01",2017
77,Croacia,259.274,301.209,560.483,"13,65%","0,26",2017
78,Haiti,23.353,17.180,40.533,"0,37%","0,20",2017
79,Hungría,251.937,251.850,503.787,"5,15%","0,31",2017
80,Indonesia,201.259,144.671,345.930,"0,13%",0,2017
81,Irlanda,394.255,412.294,806.549,"16,70%","0,64",2017
82,Israel,890.390,1.071.733,1.962.123,"22,53%","-1,48",2017
83,India,2.657.833,2.530.717,5.188.550,"0,39%","-0,01",2017
84,Irak,213.418,153.150,366.568,"0,98%","-0,03",2017
85,Irán,1.430.784,1.268.371,2.699.155,"3,33%","-0,12",2017
86,Islandia,20.725,21.128,41.853,"12,01%","0,26",2017
87,Jamaica,11.850,11.482,23.332,"0,86%","0,01",2017
88,Jordania,1.628.377,1.605.176,3.233.553,"33,04%","-0,54",2017
89,Kenia,538.724,539.848,1.078.572,"2,38%","-0,22",2017
90,Kirguistán,80.964,119.330,200.294,"3,26%","-0,21",2017
91,Camboya,41.129,35.200,76.329,"0,50%","0,01",2017
92,Kiribati,1.594,1.428,3.022,"2,65%","0,02",2017
93,Comoras,6.071,6.484,12.555,"1,54%","-0,06",2017
94,San Cristóbal y Nieves,3.992,3.595,7.587,"14,58%","0,80",2017
95,Corea del Norte,24.350,24.589,48.939,"0,19%",0,2017
96,Corea del Sur,646.326,505.539,1.151.865,"2,24%",0,2017
97,Kuwait,2.123.292,1.000.139,3.123.431,"70,38%","1,86",2017
98,Kazajistán,1.801.999,1.833.169,3.635.168,"20,02%","-0,05",2017
99,Laos,24.396,21.070,45.466,"0,65%","-0,03",2017
100,Líbano,932.449,1.006.763,1.939.212,"28,44%","-1,76",2017
101,Santa Lucía,6.506,6.383,12.889,"7,12%","2,14",2017
102,Liechtenstein,12.013,12.670,24.683,"64,76%","1,50",2017
103,Sri Lanka,20.909,19.109,40.018,"0,19%",0,2017
104,Liberia,56.241,42.389,98.630,"2,10%","-0,44",2017
105,Lesoto,3.654,3.095,6.749,"0,32%","-0,01",2017
106,Lituania,51.850,72.856,124.706,"4,44%","-0,27",2017
107,Luxemburgo,134.207,129.866,264.073,"43,87%","0,68",2017
108,Letonia,101.028,155.861,256.889,"13,28%","-0,20",2017
109,Libia,561.454,226.965,788.419,"12,23%","0,03",2017
110,Marruecos,48.099,47.736,95.835,"0,27%",0,2017
111,Mónaco,10.431,10.824,21.255,"55,50%","-12,52",2017
112,Moldavia,49.534,90.511,140.045,"3,95%","0,96",2017
113,Montenegro,27.813,43.171,70.984,"11,41%","-0,12",2017
114,Madagascar,19.278,14.566,33.844,"0,14%",0,2017
115,Islas Marshall,2.016,1.276,3.292,"6,10%","0,02",2017
116,Macedonia del Norte,54.597,76.375,130.972,"6,31%",0,2017
117,Malí,196.630,187.091,383.721,"2,07%","-0,34",2017
118,Birmania - Myanmar,40.918,33.742,74.660,"0,14%",0,2017
119,Mongolia,13.284,4.920,18.204,"0,57%","-0,08",2017
120,Mauritania,95.136,73.302,168.438,"3,93%","-0,19",2017
121,Malta,24.308,21.231,45.539,"9,57%","-2,12",2017
122,Mauricio,15.903,12.810,28.713,"2,27%","0,01",2017
123,Maldivas,58.759,8.267,67.026,"13,50%","-0,63",2017
124,Malaui,112.936,124.168,237.104,"1,34%","0,05",2017
125,México,620.387,603.782,1.224.169,"0,99%","0,14",2017
126,Malasia,1.633.054,1.070.575,2.703.629,"8,44%","-2,08",2017
127,Mozambique,120.843,126.111,246.954,"0,86%","-0,33",2017
128,Namibia,51.207,43.860,95.067,"4,01%","-0,44",2017
129,Níger,140.113,155.497,295.610,"1,37%","0,11",2017
130,Nigeria,677.624,557.464,1.235.088,"0,65%","-0,01",2017
131,Nicaragua,21.185,19.974,41.159,"0,64%",0,2017
132,Países Bajos,983.586,1.072.934,2.056.520,"11,97%","0,21",2017
133,Noruega,417.087,381.857,798.944,"15,09%","0,77",2017
134,Nepal,153.928,348.742,502.670,"1,82%","-0,07",2017
135,Nauru,2.317,1.393,3.710,"35,08%","19,33",2017
136,Nueva Zelanda,516.176,551.247,1.067.423,"22,17%","-0,37",2017
137,Omán,1.741.326,331.966,2.073.292,"45,47%","0,84",2017
138,Panamá,97.931,92.797,190.728,"4,65%",0,2017
139,Perú,46.957,46.823,93.780,"0,30%","-0,22",2017
140,Papúa Nueva Guinea,20.558,11.831,32.389,"0,39%",0,2017
141,Filipinas,113.239,105.291,218.530,"0,21%",0,2017
142,Pakistán,1.743.606,1.654.548,3.398.154,"1,66%","-0,13",2017
143,Polonia,274.254,366.683,640.937,"1,69%","0,06",2017
144,Estado de Palestina,112.452,141.283,253.735,"5,36%","-0,28",2017
145,Palaos,2.831,2.157,4.988,"27,71%","0,28",2017
146,Paraguay,83.412,77.107,160.519,"2,31%","-0,01",2017
147,Catar,1.444.688,276.704,1.721.392,"63,17%","-6,05",2017
148,Rumanía,196.804,173.949,370.753,"1,90%","0,48",2017
149,Serbia,352.744,449.159,801.903,"11,45%","0,04",2017
150,Rusia,5.719.253,5.932.256,11.651.509,"7,93%","-0,02",2017
151,Ruanda,220.796,222.292,443.088,"3,70%","-0,83",2017
152,Arabia Saudita,8.341.564,3.843.720,12.185.284,"37,36%","2,68",2017
153,Islas Salomón,1.421,1.111,2.532,"0,40%","-0,03",2017
154,Seychelles,9.049,3.877,12.926,"13,49%","-0,26",2017
155,Sudán,368.382,367.439,735.821,"1,80%","0,20",2017
156,Suecia,863.205,884.505,1.747.710,"17,27%","0,25",2017
157,Singapur,1.158.202,1.465.202,2.623.404,"46,75%","0,79",2017
158,Eslovenia,138.120,106.670,244.790,"11,84%","0,33",2017
159,Eslovaquia,93.294,91.348,184.642,"3,39%","0,12",2017
160,Sierra Leona,52.173,43.075,95.248,"1,27%","0,45",2017
161,San Marino,2.903,2.340,5.243,"15,74%",0,2017
162,Senegal,140.941,124.660,265.601,"1,72%","-0,11",2017
163,Somalia,23.549,21.319,44.868,"0,31%","0,01",2017
164,Surinam,26.041,21.658,47.699,"8,18%","0,57",2017
165,Sudán del Sur,431.520,413.719,845.239,"7,75%","-0,13",2017
166,Santo Tomé y Príncipe,1.147,1.146,2.293,"1,11%","-0,09",2017
167,El Salvador,20.129,22.194,42.323,"0,66%",0,2017
168,Siria,517.813,496.005,1.013.818,"5,93%","1,09",2017
169,Suazilandia,17.221,16.042,33.263,"3,04%","0,04",2017
170,Chad,225.575,264.115,489.690,"3,26%","-0,05",2017
171,Togo,142.882,141.084,283.966,"3,69%","-0,10",2017
172,Tailandia,1.802.323,1.786.550,3.588.873,"5,19%","0,12",2017
173,Tayikistán,117.821,155.438,273.259,"3,08%","-0,17",2017
174,Timor Oriental,6.100,5.963,12.063,"0,97%","0,26",2017
175,Turkmenistán,90.906,104.155,195.061,"3,39%","-0,14",2017
176,Túnez,29.849,27.814,57.663,"0,50%",0,2017
177,Tonga,2.691,2.261,4.952,"4,90%","1,02",2017
178,Türkiye,2.292.242,2.589.724,4.881.966,"6,04%","0,52",2017
179,Trinidad y Tobago,24.488,25.726,50.214,"3,63%","-0,02",2017
180,Tuvalu,79,64,143,"1,30%","-0,79",2017
181,Tanzania,245.897,246.677,492.574,"0,90%","0,15",2017
182,Ucrania,2.135.064,2.829.229,4.964.293,"11,76%","0,22",2017
183,Uganda,793.851,898.269,1.692.120,"4,49%","2,09",2017
184,Uruguay,35.998,43.588,79.586,"2,32%","0,05",2017
185,Uzbekistán,540.277,618.913,1.159.190,"3,61%","-0,16",2017
186,San Vicente y las Granadinas,2.246,2.349,4.595,"4,18%","-0,04",2017
187,Venezuela,714.422,711.914,1.426.336,"4,85%","0,18",2017
188,Vietnam,44.087,32.017,76.104,"0,08%",0,2017
189,Vanuatu,1.612,1.633,3.245,"1,16%","-0,02",2017
190,Samoa,2.444,2.435,4.879,"2,50%","0,31",2017
191,Yemen,201.720,182.601,384.321,"1,36%","-0,05",2017
192,Sudáfrica,2.244.421,1.792.275,4.036.696,"7,07%","0,18",2017
193,Zambia,79.331,77.651,156.982,"0,91%","0,10",2017
194,Zimbabue,229.881,173.985,403.866,"2,80%","-0,06",2017
