,Países,Inmigrantes hombres,Inmigrantes mujeres,Inmigrantes,% Inmigrantes,Var.
67,Ghana,179.647,157.370,337.017,"1,37%","-0,05"
68,Gambia,98.086,87.677,185.763,"10,36%","-1,42"
69,Guinea,92.899,85.099,177.998,"1,64%","-0,76"
70,Guinea Ecuatorial,4.734,3.924,8.658,"0,91%","0,04"
71,Grecia,640.731,680.418,1.321.149,"11,88%","1,06"
72,Guatemala,30.917,35.467,66.384,"0,45%","0,01"
73,Guinea-Bisáu,10.307,10.754,21.061,"1,44%","-0,12"
74,Guyana,7.023,6.103,13.126,"1,74%","0,28"
75,Hong Kong,1.147.539,1.632.411,2.779.950,"39,42%","-0,38"
76,Honduras,14.306,12.982,27.288,"0,33%","-0,04"
77,Croacia,268.466,304.782,573.248,"13,36%","-0,07"
78,Haiti,9.548,7.630,17.178,"0,17%","-0,01"
79,Hungría,210.212,226.404,436.616,"4,37%","0,73"
80,Indonesia,174.864,130.552,305.416,"0,13%",0
81,Irlanda,360.440,370.102,730.542,"15,98%","1,98"
82,Israel,890.352,1.060.263,1.950.615,"25,60%","-1,68"
83,India,2.789.748,2.650.010,5.439.758,"0,44%","-0,08"
84,Irak,72.965,44.424,117.389,"0,38%","-0,11"
85,Irán,1.571.723,1.189.838,2.761.561,"3,72%","0,02"
86,Islandia,17.619,17.472,35.091,"11,02%","2,52"
87,Jamaica,12.024,11.653,23.677,"0,88%","-0,04"
88,Jordania,1.384.313,1.338.670,2.722.983,"37,50%","-2,83"
89,Kenia,473.093,481.832,954.925,"2,47%","0,18"
90,Kirguistán,94.596,137.469,232.065,"4,28%","-1,74"
91,Camboya,43.385,38.592,81.977,"0,58%","-0,27"
92,Kiribati,1.512,1.356,2.868,"2,78%","0,08"
93,Comoras,6.060,6.558,12.618,"1,84%","-0,35"
94,San Cristóbal y Nieves,3.806,3.439,7.245,"14,21%","0,57"
95,Corea del Norte,21.766,22.244,44.010,"0,18%","0,01"
96,Corea del Sur,525.395,394.592,919.987,"1,86%","0,85"
97,Kuwait,1.309.814,561.723,1.871.537,"52,25%","7,67"
98,Kazajistán,1.625.155,1.709.782,3.334.937,"20,28%","-0,11"
99,Laos,20.133,12.822,32.955,"0,53%","0,18"
100,Líbano,427.358,393.297,820.655,"16,57%","0,46"
101,Santa Lucía,4.377,4.674,9.051,"5,45%","-0,55"
102,Liechtenstein,10.867,11.475,22.342,"61,81%","7,67"
103,Sri Lanka,20.694,18.265,38.959,"0,19%","-0,01"
104,Liberia,56.885,42.244,99.129,"2,55%","-0,16"
105,Lesoto,3.469,2.945,6.414,"0,33%","-0,01"
106,Lituania,69.606,91.166,160.772,"5,27%","-0,85"
107,Luxemburgo,81.420,81.722,163.142,"31,87%","-0,24"
108,Letonia,124.675,189.111,313.786,"15,13%","-1,78"
109,Libia,489.737,194.261,683.998,"11,32%","0,14"
110,Marruecos,35.738,35.171,70.909,"0,22%","0,04"
111,Mónaco,10.325,10.807,21.132,"59,34%","-3,64"
112,Moldavia,52.198,77.290,129.488,"3,64%","-1,13"
113,Montenegro,31.639,46.873,78.512,"12,67%",
114,Madagascar,16.410,12.495,28.905,"0,14%","-0,01"
115,Islas Marshall,1.895,1.194,3.089,"5,83%","1,09"
116,Macedonia del Norte,54.067,75.634,129.701,"6,30%","0,04"
117,Malí,172.066,167.309,339.375,"2,26%","0,25"
118,Birmania - Myanmar,41.574,34.840,76.414,"0,16%","-0,01"
119,Mongolia,11.880,4.182,16.062,"0,58%","0,13"
120,Mauritania,48.605,36.074,84.679,"2,58%","0,67"
121,Malta,17.118,15.890,33.008,"7,95%","1,89"
122,Mauricio,13.188,11.648,24.836,"1,99%","0,39"
123,Maldivas,41.712,12.947,54.659,"17,08%","1,76"
124,Malaui,103.869,113.853,217.722,"1,39%","-0,23"
125,México,490.691,478.847,969.538,"0,85%","0,18"
126,Malasia,1.469.977,947.418,2.417.395,"8,46%","1,21"
127,Mozambique,148.105,158.366,306.471,"1,30%","0,01"
128,Namibia,55.803,48.023,103.826,"4,98%","-0,51"
129,Níger,60.033,66.431,126.464,"0,77%","-0,14"
130,Nigeria,575.671,413.008,988.679,"0,62%","-0,08"
131,Nicaragua,19.128,18.205,37.333,"0,64%",0
132,Países Bajos,881.264,951.246,1.832.510,"11,00%","0,37"
133,Noruega,268.505,258.294,526.799,"10,71%","2,93"
134,Nepal,189.518,389.139,578.657,"2,14%","-0,50"
135,Nauru,653,530,1.183,"11,83%","-10,70"
136,Nueva Zelanda,459.047,488.396,947.443,"21,77%","1,46"
137,Omán,658.746,157.475,816.221,"27,23%","1,78"
138,Panamá,80.931,76.378,157.309,"4,30%","0,79"
139,Perú,56.097,48.609,104.706,"0,36%","0,08"
140,Papúa Nueva Guinea,18.466,11.959,30.425,"0,46%","-0,06"
141,Filipinas,107.933,100.666,208.599,"0,22%","-0,08"
142,Pakistán,2.074.443,1.867.143,3.941.586,"2,22%","0,21"
143,Polonia,262.263,380.154,642.417,"1,69%","-0,20"
144,Estado de Palestina,114.688,143.344,258.032,"6,41%","-1,19"
145,Palaos,3.211,2.279,5.490,"30,50%","0,28"
146,Paraguay,83.394,76.905,160.299,"2,56%","-0,35"
147,Catar,1.206.571,249.842,1.456.413,"84,92%","6,23"
148,Rumanía,87.667,89.544,177.211,"0,88%","0,20"
149,Serbia,364.757,461.518,826.275,"11,39%","-0,12"
150,Rusia,5.514.401,5.680.309,11.194.710,"7,84%","-0,33"
151,Ruanda,214.048,212.853,426.901,"4,27%","-0,54"
152,Arabia Saudita,5.933.281,2.496.675,8.429.956,"30,58%","2,71"
153,Islas Salomón,1.546,1.214,2.760,"0,52%","-0,18"
154,Seychelles,7.804,3.616,11.420,"12,69%","1,85"
155,Sudán,314.552,304.157,618.709,"1,54%","-0,01"
156,Suecia,673.083,711.846,1.384.929,"14,71%","2,27"
157,Singapur,956.856,1.207.938,2.164.794,"42,64%","2,54"
158,Eslovenia,141.285,112.501,253.786,"12,38%","1,54"
159,Eslovaquia,66.938,79.381,146.319,"2,71%","0,28"
160,Sierra Leona,43.515,35.540,79.055,"1,23%","-1,36"
161,San Marino,2.761,2.119,4.880,"15,32%","1,26"
162,Senegal,135.879,120.213,256.092,"2,02%","-0,13"
163,Somalia,25.213,22.893,48.106,"0,40%","0,20"
164,Surinam,21.658,18.055,39.713,"7,48%","0,73"
165,Sudán del Sur,132.693,125.212,257.905,"2,71%","2,71"
166,Santo Tomé y Príncipe,1.352,1.348,2.700,"1,54%","-0,67"
167,El Salvador,19.148,21.176,40.324,"0,65%","0,05"
168,Siria,913.004,874.557,1.787.561,"8,36%","3,77"
169,Suazilandia,16.790,15.847,32.637,"3,14%","-0,20"
170,Chad,186.773,230.151,416.924,"3,49%",0
171,Togo,129.352,126.061,255.413,"3,98%","0,35"
172,Tailandia,1.624.755,1.599.376,3.224.131,"4,80%","1,49"
173,Tayikistán,121.780,158.028,279.808,"3,66%","-0,43"
174,Timor Oriental,5.837,5.703,11.540,"1,05%","-0,08"
175,Turkmenistán,90.634,107.345,197.979,"3,89%","-0,59"
176,Túnez,22.236,20.936,43.172,"0,41%","0,06"
177,Tonga,2.500,2.104,4.604,"4,47%","0,21"
178,Türkiye,625.960,741.074,1.367.034,"1,85%","-0,07"
179,Trinidad y Tobago,23.152,25.074,48.226,"3,63%","0,17"
180,Tuvalu,121,99,220,"2,20%","0,11"
181,Tanzania,154.591,155.256,309.847,"0,72%","-1,34"
182,Ucrania,2.072.474,2.746.293,4.818.767,"10,57%","-0,23"
183,Uganda,241.903,251.027,492.930,"1,62%","-0,68"
184,Uruguay,34.535,41.768,76.303,"2,25%","-0,21"
185,Uzbekistán,558.379,661.770,1.220.149,"4,36%","-0,75"
186,San Vicente y las Granadinas,2.302,2.267,4.569,"4,19%","0,08"
187,Venezuela,676.261,671.086,1.347.347,"4,72%","0,65"
188,Vietnam,35.971,25.785,61.756,"0,07%","0,01"
189,Vanuatu,1.487,1.504,2.991,"1,25%","-0,06"
190,Samoa,2.594,2.528,5.122,"2,75%","-0,44"
191,Yemen,156.123,132.271,288.394,"1,22%","0,38"
192,Sudáfrica,1.221.739,893.062,2.114.801,"4,12%","1,30"
193,Zambia,75.941,74.021,149.962,"1,08%","-1,02"
194,Zimbabue,227.201,171.106,398.307,"3,23%","-0,17"
